b21,b26,b38,b48,b77,Turbidity
0.208674,0.212368,0.262157,0.254303,0.269871,17.32
0.208674,0.212368,0.262157,0.254303,0.269871,20.48
0.209446,0.212755,0.261979,0.25356,0.267652,17.19
0.209379,0.212683,0.261875,0.253453,0.26753,17.54
0.209058,0.212788,0.262759,0.254924,0.27058,19.42
0.209114,0.212392,0.261459,0.253024,0.26704,16.89
0.209058,0.212788,0.262759,0.254924,0.27058,17.33
0.207718,0.211321,0.260654,0.252756,0.268104,13.89
0.209114,0.212392,0.261459,0.253024,0.26704,17.81
0.207841,0.211647,0.260958,0.254277,0.268407,17
0.207841,0.211647,0.260958,0.254277,0.268407,17.32
0.208925,0.212833,0.262661,0.256031,0.27041,16.06
0.208319,0.21217,0.261709,0.255051,0.26929,17.38
0.208883,0.212787,0.262594,0.255962,0.270332,16.53
0.209825,0.213818,0.264074,0.257486,0.272072,16.44
0.211457,0.214057,0.272627,0.264011,0.278866,15.57
0.209356,0.212657,0.261838,0.253414,0.267486,17.13
0.20732,0.211077,0.26014,0.253434,0.267444,16.49
0.209246,0.211637,0.269154,0.260434,0.27478,15.51
0.211803,0.214435,0.27317,0.26457,0.279504,15.53
0.206537,0.209221,0.257847,0.246886,0.260608,18.01
0.20732,0.211077,0.26014,0.253434,0.267444,21.11
0.207328,0.209538,0.266141,0.257331,0.271237,15.38
0.212509,0.213344,0.275021,0.264558,0.279101,15.38
0.209672,0.213684,0.269747,0.260792,0.278008,16.07
0.206537,0.209221,0.257847,0.246886,0.260608,18.61
0.209166,0.209686,0.26977,0.25915,0.272924,15.42
0.209332,0.212004,0.269484,0.261065,0.277408,16.01
0.210838,0.213652,0.271849,0.2635,0.28019,16.59
0.210175,0.212926,0.270808,0.262428,0.278965,16.04
0.206755,0.210492,0.265165,0.256073,0.272619,16.13
0.207498,0.211306,0.266333,0.257276,0.273993,16.07
0.206929,0.208007,0.252848,0.244029,0.257834,18.39
0.208023,0.209204,0.254567,0.245798,0.259854,20.24
0.207557,0.212295,0.269443,0.260987,0.277161,15.47
0.205498,0.213352,0.268298,0.26119,0.276868,15.7
0.205843,0.21373,0.268841,0.26175,0.277506,15.75
0.211359,0.213389,0.271883,0.263196,0.27964,15.63
0.210123,0.212036,0.269942,0.261197,0.277357,15.69
0.210008,0.213894,0.272861,0.262788,0.278472,15.94
0.207,0.208084,0.25296,0.244143,0.257965,18.48
0.210843,0.214932,0.265674,0.259133,0.273953,17.23
0.206386,0.208506,0.264661,0.255807,0.269496,15.46
0.206979,0.211663,0.268536,0.260053,0.276093,15.32
0.207486,0.215528,0.271422,0.264408,0.280542,15.42
0.204693,0.212471,0.267034,0.259888,0.27538,15.46
0.210033,0.211937,0.2698,0.261051,0.27719,15.6
0.211645,0.214663,0.273215,0.263198,0.279644,15.9
0.211986,0.215036,0.273751,0.263749,0.280274,15.77
0.204601,0.207217,0.264701,0.256415,0.272643,16.24
0.207527,0.211337,0.266377,0.257322,0.274045,15.77
0.209143,0.212424,0.261503,0.25307,0.267092,17.41
0.21084,0.213782,0.271951,0.261896,0.278157,15.86
0.210883,0.213828,0.272018,0.261965,0.278235,15.88
0.21213,0.213883,0.27329,0.263465,0.280132,16.05
0.209957,0.211505,0.269876,0.259949,0.276116,15.84
0.212447,0.214976,0.272971,0.265087,0.280808,15.45
0.204298,0.206885,0.264225,0.255925,0.272083,16.69
0.206375,0.2074,0.251978,0.243132,0.25681,18.82
0.210843,0.214932,0.265674,0.259133,0.273953,15.77
0.207834,0.209925,0.261096,0.254189,0.266698,17.36
0.20772,0.2098,0.260918,0.254005,0.266488,24.57
0.206859,0.211963,0.267573,0.258686,0.275638,15.66
0.209931,0.214677,0.272705,0.265485,0.281316,15.79
0.208028,0.212594,0.269715,0.262406,0.277799,15.63
0.208018,0.212583,0.2697,0.262391,0.277782,14.99
0.207187,0.210594,0.2684,0.259839,0.274069,15.91
0.205091,0.2096,0.264528,0.256507,0.270808,15.51
0.207824,0.21259,0.26882,0.260927,0.275856,15.45
0.204269,0.206854,0.26418,0.255879,0.272031,16.44
0.207195,0.210974,0.265857,0.256786,0.273433,15.69
0.207915,0.210013,0.261223,0.254319,0.266847,17.39
0.207677,0.21221,0.269164,0.261839,0.277152,13.16
0.207206,0.210615,0.268429,0.25987,0.274104,14.77
0.206933,0.211616,0.267421,0.259487,0.274211,15.6
0.210025,0.2148,0.268931,0.261243,0.276435,15.7
0.210102,0.213206,0.272557,0.264198,0.282249,16.72
0.208515,0.211469,0.270066,0.261632,0.279318,15.77
0.20924,0.212262,0.271204,0.262804,0.280656,16.26
0.208517,0.211502,0.270852,0.262749,0.279879,16.62
0.210843,0.214932,0.265674,0.259133,0.273953,16.57
0.210107,0.212412,0.264667,0.257866,0.270898,18.03
0.208266,0.211326,0.26859,0.259086,0.273446,16.19
0.209326,0.212487,0.270256,0.260802,0.275406,15.9
0.209899,0.213114,0.271156,0.261728,0.276465,16.37
0.210539,0.21233,0.272486,0.261681,0.277565,16.58
0.210667,0.21247,0.272687,0.261888,0.277801,16.37
0.208534,0.211667,0.267428,0.260702,0.273132,16.12
0.207437,0.212595,0.268481,0.25962,0.276705,15.6
0.205716,0.21116,0.267491,0.261505,0.281659,16.07
0.209805,0.212085,0.270067,0.260884,0.275492,15.81
0.207331,0.209706,0.266155,0.255464,0.270469,16.5
0.208818,0.210066,0.268592,0.259131,0.273531,16.66
0.207344,0.210765,0.268645,0.260092,0.274358,16.14
0.207512,0.212262,0.269666,0.261617,0.277889,16.78
0.206549,0.210508,0.265733,0.256935,0.272883,16.37
0.207167,0.211236,0.264915,0.256636,0.273513,15.26
0.207162,0.210118,0.266857,0.257301,0.271408,15.93
0.208346,0.209931,0.269042,0.258135,0.273514,17.01
0.209837,0.213093,0.269473,0.262809,0.275538,16.51
0.208691,0.213968,0.270452,0.26165,0.279024,15.81
0.211344,0.21377,0.272485,0.263374,0.278335,20.31
0.211825,0.214624,0.273214,0.262733,0.278771,15.64
0.20868,0.211183,0.268275,0.257647,0.272962,15.82
0.208988,0.21152,0.268758,0.258145,0.273531,16.35
0.208418,0.21216,0.270001,0.260413,0.276908,15.87
0.207758,0.212531,0.270053,0.262016,0.278343,17.67
0.207512,0.212262,0.269666,0.261617,0.277889,16.55
0.207431,0.208556,0.253637,0.24484,0.258761,18.26
0.208798,0.212693,0.26246,0.255824,0.270174,17
0.207995,0.21126,0.262732,0.255945,0.267168,16.77
0.196682,0.19909,0.248987,0.240923,0.255662,16.68
0.205104,0.208167,0.261775,0.254652,0.268223,16.45
0.207022,0.210266,0.264787,0.257754,0.271766,16.98
0.206251,0.208991,0.266254,0.256411,0.271578,16.26
0.208576,0.212726,0.268916,0.260213,0.276627,16.32
0.212512,0.21602,0.273676,0.267136,0.280481,16.68
0.210633,0.216093,0.273501,0.26479,0.282611,16.4
0.209392,0.211024,0.263311,0.254898,0.269043,18.54
0.209184,0.210796,0.262984,0.254561,0.268658,18.31
0.207565,0.212573,0.265305,0.257785,0.273848,17.06
0.206926,0.211874,0.264301,0.256751,0.272667,14.88
0.207816,0.212848,0.265699,0.258191,0.274312,16.33
0.211351,0.214955,0.269714,0.262211,0.278066,16.75
0.201324,0.204318,0.257272,0.249351,0.267492,16.65
0.196395,0.198923,0.249529,0.241378,0.258385,16.76
0.179561,0.1805,0.223086,0.214147,0.227283,17.54
0.208212,0.212718,0.264918,0.25641,0.271189,17.84
0.206303,0.209048,0.266336,0.256496,0.271674,15.96
0.205825,0.208525,0.265585,0.255722,0.270791,14.23
0.209827,0.213104,0.270887,0.26126,0.278173,19.68
0.209969,0.21326,0.27111,0.26149,0.278435,16.85
0.207758,0.212531,0.270053,0.262016,0.278343,16.37
0.207758,0.212531,0.270053,0.262016,0.278343,16.54
0.207512,0.212262,0.269666,0.261617,0.277889,16.81
0.210923,0.214372,0.2643,0.25595,0.270382,16.91
0.207439,0.211206,0.260325,0.253626,0.267663,17.02
0.207812,0.211422,0.263955,0.253851,0.269955,16.54
0.20813,0.211769,0.264454,0.254364,0.270541,16.71
0.207322,0.211174,0.265475,0.258649,0.273513,16.84
0.209653,0.212417,0.267747,0.258238,0.274101,18.46
0.212,0.215665,0.270733,0.263261,0.279265,16.47
0.210589,0.21412,0.268517,0.260978,0.276658,16.12
0.210231,0.211793,0.265764,0.258572,0.273131,16.85
0.209786,0.213134,0.267259,0.261221,0.273668,17.01
0.205783,0.2082,0.262309,0.254387,0.27044,16.81
0.207236,0.211651,0.263386,0.254832,0.269386,17.68
0.206848,0.211226,0.262776,0.254204,0.268669,17.23
0.209123,0.212184,0.268801,0.259901,0.274547,17.65
0.2098,0.212935,0.27058,0.260665,0.276715,17.73
0.209456,0.213116,0.271818,0.262962,0.27946,15.74
0.207257,0.210452,0.261572,0.25475,0.265803,17.59
0.207371,0.21102,0.264994,0.256492,0.270968,17.48
0.2065,0.210617,0.262177,0.253322,0.268478,16.05
0.206789,0.210933,0.26263,0.253789,0.269012,16.72
0.207371,0.211571,0.263545,0.254731,0.270088,17.45
0.209871,0.214307,0.267473,0.258776,0.274707,16.72
0.20903,0.212345,0.265582,0.257123,0.270598,16.32
0.208391,0.211645,0.264578,0.256088,0.269417,16.02
0.209001,0.212314,0.265538,0.257077,0.270546,17.27
0.207811,0.210595,0.263048,0.253693,0.271286,17.21
0.208927,0.21261,0.266601,0.258072,0.275592,17.57
0.208975,0.212662,0.266675,0.258149,0.27568,19.07
0.209228,0.21407,0.268299,0.261127,0.277956,16.68
0.209351,0.214204,0.268492,0.261326,0.278184,17.19
0.207434,0.212602,0.265563,0.257548,0.273478,17.23
0.208785,0.212775,0.267773,0.261016,0.276216,16.78
0.209726,0.213951,0.268696,0.261954,0.276315,16.65
0.207189,0.211599,0.263312,0.254756,0.269299,16.87
0.21121,0.212513,0.264838,0.258369,0.275463,23.05
0.209833,0.212961,0.269917,0.26105,0.275859,16.84
0.210551,0.215274,0.271939,0.262783,0.278945,18.34
0.210563,0.212975,0.270227,0.261774,0.277541,13.94
0.21154,0.215298,0.272658,0.265169,0.283137,16.29
0.208373,0.211831,0.267682,0.260045,0.277284,16.82
0.207628,0.211843,0.267478,0.255342,0.275313,14.9
0.20813,0.212392,0.268267,0.256154,0.27624,13.44
0.209165,0.212241,0.269583,0.259638,0.275543,16.53
0.210042,0.213057,0.270384,0.262498,0.279335,14.62
0.209549,0.212518,0.269611,0.261701,0.278426,16.73
0.208388,0.213221,0.271042,0.263034,0.279507,17.02
0.208018,0.212816,0.270462,0.262437,0.278825,15.79
0.207758,0.212531,0.270053,0.262016,0.278343,17.8
0.204782,0.206006,0.252521,0.241586,0.254943,18.07
0.208498,0.212253,0.266764,0.258315,0.27305,17.23
0.208062,0.211777,0.26608,0.257611,0.272246,17.54
0.206779,0.211443,0.262692,0.253617,0.269495,16.84
0.207555,0.210784,0.261517,0.25251,0.268495,16.82
0.209056,0.212427,0.263874,0.254938,0.271268,17.01
0.209393,0.212795,0.264403,0.255482,0.271889,17.44
0.207349,0.210736,0.262856,0.255449,0.268447,17.13
0.207595,0.211005,0.263243,0.255847,0.268902,17.17
0.207505,0.210907,0.263102,0.255702,0.268736,17.25
0.209472,0.213206,0.267456,0.258953,0.276598,17.54
